ev_index,session_id,ev_type,arrival_time,departure_time,battery_capacity_kwh,initial_energy_kwh,required_energy_at_departure_kwh,max_charge_power_kw,max_discharge_power_kw,v2b_allowed,degradation_cost_cny_per_kwh_throughput,arrival_time_discrete,departure_time_discrete,arrival_slot,departure_slot,dwell_slots,feasibility_flag,issue_note
1,S004,SUV,2025-07-14 06:45:00,2025-07-14 17:30:00,75,50.6,70.5,7,7,1,0.071,2025-07-14 06:45:00,2025-07-14 17:30:00,28,71,43,1,
2,S007,compact,2025-07-14 06:45:00,2025-07-14 15:15:00,50,36.5,47.0,7,7,1,0.098,2025-07-14 06:45:00,2025-07-14 15:15:00,28,62,34,1,
3,S002,compact,2025-07-14 07:30:00,2025-07-14 18:30:00,50,26.4,42.2,7,7,1,0.105,2025-07-14 07:30:00,2025-07-14 18:30:00,31,75,44,1,
4,S006,compact,2025-07-14 07:45:00,2025-07-14 18:15:00,50,17.4,43.5,7,7,1,0.104,2025-07-14 07:45:00,2025-07-14 18:15:00,32,74,42,1,
5,S012,compact,2025-07-14 08:00:00,2025-07-14 15:30:00,50,24.4,33.7,7,7,1,0.094,2025-07-14 08:00:00,2025-07-14 15:30:00,33,63,30,1,
6,S011,SUV,2025-07-14 08:15:00,2025-07-14 16:45:00,75,36.4,64.3,11,10,1,0.074,2025-07-14 08:15:00,2025-07-14 16:45:00,34,68,34,1,
7,S019,SUV,2025-07-14 08:15:00,2025-07-14 18:30:00,75,19.4,48.2,11,10,1,0.076,2025-07-14 08:15:00,2025-07-14 18:30:00,34,75,41,1,
8,S013,SUV,2025-07-14 08:15:00,2025-07-14 15:45:00,75,47.7,70.5,7,0,0,0.071,2025-07-14 08:15:00,2025-07-14 15:45:00,34,64,30,1,
9,S008,sedan,2025-07-14 08:30:00,2025-07-14 16:15:00,60,40.3,56.4,7,7,1,0.091,2025-07-14 08:30:00,2025-07-14 16:15:00,35,66,31,1,
10,S010,SUV,2025-07-14 08:30:00,2025-07-14 18:00:00,75,43.0,57.9,7,0,0,0.066,2025-07-14 08:30:00,2025-07-14 18:00:00,35,73,38,1,
11,S018,sedan,2025-07-14 08:30:00,2025-07-14 14:15:00,60,35.2,48.0,11,10,1,0.083,2025-07-14 08:30:00,2025-07-14 14:15:00,35,58,23,1,
12,S003,sedan,2025-07-14 08:45:00,2025-07-14 18:00:00,60,14.0,46.5,11,10,1,0.09,2025-07-14 08:45:00,2025-07-14 18:00:00,36,73,37,1,
13,S020,SUV,2025-07-14 09:00:00,2025-07-14 18:45:00,75,19.4,46.5,11,0,0,0.068,2025-07-14 09:00:00,2025-07-14 18:45:00,37,76,39,1,
14,S016,SUV,2025-07-14 09:30:00,2025-07-14 21:00:00,75,22.8,54.4,11,10,1,0.07,2025-07-14 09:30:00,2025-07-14 21:00:00,39,85,46,1,
15,S001,sedan,2025-07-14 09:30:00,2025-07-14 19:30:00,60,20.4,46.0,7,7,1,0.093,2025-07-14 09:30:00,2025-07-14 19:30:00,39,79,40,1,
16,S009,compact,2025-07-14 09:30:00,2025-07-14 17:30:00,50,20.3,37.6,11,0,0,0.097,2025-07-14 09:30:00,2025-07-14 17:30:00,39,71,32,1,
17,S017,sedan,2025-07-14 10:15:00,2025-07-14 18:45:00,60,29.9,46.7,11,10,1,0.099,2025-07-14 10:15:00,2025-07-14 18:45:00,42,76,34,1,
18,S015,SUV,2025-07-14 10:30:00,2025-07-14 19:00:00,75,46.7,63.3,11,10,1,0.069,2025-07-14 10:30:00,2025-07-14 19:00:00,43,77,34,1,
19,S005,sedan,2025-07-14 10:45:00,2025-07-14 19:45:00,60,26.9,46.5,7,7,1,0.091,2025-07-14 10:45:00,2025-07-14 19:45:00,44,80,36,1,
20,S014,compact,2025-07-14 11:30:00,2025-07-14 18:00:00,50,31.1,47.0,7,7,1,0.096,2025-07-14 11:30:00,2025-07-14 18:00:00,47,73,26,1,
21,S031,SUV,2025-07-15 07:30:00,2025-07-15 18:00:00,75,37.0,53.0,11,10,1,0.073,2025-07-15 07:30:00,2025-07-15 18:00:00,127,169,42,1,
22,S029,compact,2025-07-15 07:30:00,2025-07-15 17:00:00,50,14.3,37.1,11,0,0,0.102,2025-07-15 07:30:00,2025-07-15 17:00:00,127,165,38,1,
23,S026,sedan,2025-07-15 07:30:00,2025-07-15 16:15:00,60,22.7,37.7,7,7,1,0.089,2025-07-15 07:30:00,2025-07-15 16:15:00,127,162,35,1,
24,S032,sedan,2025-07-15 07:45:00,2025-07-15 13:45:00,60,17.9,46.5,11,10,1,0.082,2025-07-15 07:45:00,2025-07-15 13:45:00,128,152,24,1,
25,S035,compact,2025-07-15 08:00:00,2025-07-15 17:15:00,50,39.0,47.0,7,0,0,0.103,2025-07-15 08:00:00,2025-07-15 17:15:00,129,166,37,1,
26,S025,sedan,2025-07-15 08:00:00,2025-07-15 16:00:00,60,44.2,54.9,7,7,1,0.092,2025-07-15 08:00:00,2025-07-15 16:00:00,129,161,32,1,
27,S022,compact,2025-07-15 08:00:00,2025-07-15 13:30:00,50,9.0,44.0,7,0,0,0.094,2025-07-15 08:00:00,2025-07-15 13:30:00,129,151,22,1,
28,S034,compact,2025-07-15 08:30:00,2025-07-15 18:45:00,50,24.2,37.1,7,0,0,0.101,2025-07-15 08:30:00,2025-07-15 18:45:00,131,172,41,1,
29,S033,SUV,2025-07-15 08:30:00,2025-07-15 19:00:00,75,28.4,57.5,11,10,1,0.076,2025-07-15 08:30:00,2025-07-15 19:00:00,131,173,42,1,
30,S036,compact,2025-07-15 08:45:00,2025-07-15 18:15:00,50,21.8,34.6,11,10,1,0.093,2025-07-15 08:45:00,2025-07-15 18:15:00,132,170,38,1,
31,S024,compact,2025-07-15 08:45:00,2025-07-15 14:15:00,50,41.0,47.0,7,7,1,0.098,2025-07-15 08:45:00,2025-07-15 14:15:00,132,154,22,1,
32,S028,sedan,2025-07-15 09:15:00,2025-07-15 19:45:00,60,31.6,44.2,11,10,1,0.086,2025-07-15 09:15:00,2025-07-15 19:45:00,134,176,42,1,
33,S027,compact,2025-07-15 09:15:00,2025-07-15 18:30:00,50,41.0,47.0,11,0,0,0.102,2025-07-15 09:15:00,2025-07-15 18:30:00,134,171,37,1,
34,S030,compact,2025-07-15 09:30:00,2025-07-15 19:45:00,50,29.7,37.9,7,0,0,0.103,2025-07-15 09:30:00,2025-07-15 19:45:00,135,176,41,1,
35,S023,compact,2025-07-15 09:45:00,2025-07-15 18:15:00,50,29.5,47.0,7,0,0,0.097,2025-07-15 09:45:00,2025-07-15 18:15:00,136,170,34,1,
36,S021,sedan,2025-07-15 10:00:00,2025-07-15 20:15:00,60,41.0,56.4,7,0,0,0.085,2025-07-15 10:00:00,2025-07-15 20:15:00,137,178,41,1,
37,S050,SUV,2025-07-16 06:45:00,2025-07-16 18:00:00,75,42.9,59.4,11,10,1,0.061,2025-07-16 06:45:00,2025-07-16 18:00:00,220,265,45,1,
38,S041,sedan,2025-07-16 06:45:00,2025-07-16 16:30:00,60,47.3,56.4,7,7,1,0.084,2025-07-16 06:45:00,2025-07-16 16:30:00,220,259,39,1,
39,S038,sedan,2025-07-16 07:15:00,2025-07-16 12:15:00,60,19.7,43.2,7,7,1,0.079,2025-07-16 07:15:00,2025-07-16 12:15:00,222,242,20,1,
40,S045,compact,2025-07-16 07:30:00,2025-07-16 17:45:00,50,39.4,47.0,7,0,0,0.101,2025-07-16 07:30:00,2025-07-16 17:45:00,223,264,41,1,
41,S044,SUV,2025-07-16 08:00:00,2025-07-16 19:30:00,75,39.3,63.0,7,7,1,0.06,2025-07-16 08:00:00,2025-07-16 19:30:00,225,271,46,1,
