session_id,ev_index,slot_id,chi,P_ev_ch_kw,P_ev_dis_kw,E_ev_kwh,E_required_kwh,v2b_allowed
S004,0,1,0.0,0.0,0.0,50.6,70.5,1
S004,0,2,0.0,0.0,0.0,50.6,70.5,1
S004,0,3,0.0,0.0,0.0,50.6,70.5,1
S004,0,4,0.0,0.0,0.0,50.6,70.5,1
S004,0,5,0.0,0.0,0.0,50.6,70.5,1
S004,0,6,0.0,0.0,0.0,50.6,70.5,1
S004,0,7,0.0,0.0,0.0,50.6,70.5,1
S004,0,8,0.0,0.0,0.0,50.6,70.5,1
S004,0,9,0.0,0.0,0.0,50.6,70.5,1
S004,0,10,0.0,0.0,0.0,50.6,70.5,1
S004,0,11,0.0,0.0,0.0,50.6,70.5,1
S004,0,12,0.0,0.0,0.0,50.6,70.5,1
S004,0,13,0.0,0.0,0.0,50.6,70.5,1
S004,0,14,0.0,0.0,0.0,50.6,70.5,1
S004,0,15,0.0,0.0,0.0,50.6,70.5,1
S004,0,16,0.0,0.0,0.0,50.6,70.5,1
S004,0,17,0.0,0.0,0.0,50.6,70.5,1
S004,0,18,0.0,0.0,0.0,50.6,70.5,1
S004,0,19,0.0,0.0,0.0,50.6,70.5,1
S004,0,20,0.0,0.0,0.0,50.6,70.5,1
S004,0,21,0.0,0.0,0.0,50.6,70.5,1
S004,0,22,0.0,0.0,0.0,50.6,70.5,1
S004,0,23,0.0,0.0,0.0,50.6,70.5,1
S004,0,24,0.0,0.0,0.0,50.6,70.5,1
S004,0,25,0.0,0.0,0.0,50.6,70.5,1
S004,0,26,0.0,0.0,0.0,50.6,70.5,1
S004,0,27,0.0,0.0,0.0,50.6,70.5,1
S004,0,28,1.0,7.0,0.0,52.2625,70.5,1
S004,0,29,1.0,0.0,0.0,52.2625,70.5,1
S004,0,30,1.0,0.0,0.0,52.2625,70.5,1
S004,0,31,1.0,0.0,0.0,52.2625,70.5,1
S004,0,32,1.0,0.0,0.0,52.2625,70.5,1
S004,0,33,1.0,0.0,0.0,52.2625,70.5,1
S004,0,34,1.0,0.0,0.0,52.2625,70.5,1
S004,0,35,1.0,0.0,0.0,52.2625,70.5,1
S004,0,36,1.0,7.0,0.0,53.925000000000004,70.5,1
S004,0,37,1.0,0.0,0.0,53.925000000000004,70.5,1
S004,0,38,1.0,7.0,0.0,55.587500000000006,70.5,1
S004,0,39,1.0,7.0,0.0,57.25,70.5,1
S004,0,40,1.0,7.0,0.0,58.91250000000001,70.5,1
S004,0,41,1.0,7.0,0.0,60.57500000000001,70.5,1
S004,0,42,1.0,7.0,0.0,62.23750000000001,70.5,1
S004,0,43,1.0,6.789473684210544,0.0,63.85,70.5,1
S004,0,44,1.0,0.0,0.0,63.85,70.5,1
S004,0,45,1.0,7.0,0.0,65.51250000000002,70.5,1
S004,0,46,1.0,7.0,0.0,67.17500000000001,70.5,1
S004,0,47,1.0,7.0,0.0,68.8375,70.5,1
S004,0,48,1.0,7.0,0.0,70.5,70.5,1
S007,1,1,0.0,0.0,0.0,36.5,47.0,1
S007,1,2,0.0,0.0,0.0,36.5,47.0,1
S007,1,3,0.0,0.0,0.0,36.5,47.0,1
S007,1,4,0.0,0.0,0.0,36.5,47.0,1
S007,1,5,0.0,0.0,0.0,36.5,47.0,1
S007,1,6,0.0,0.0,0.0,36.5,47.0,1
S007,1,7,0.0,0.0,0.0,36.5,47.0,1
S007,1,8,0.0,0.0,0.0,36.5,47.0,1
S007,1,9,0.0,0.0,0.0,36.5,47.0,1
S007,1,10,0.0,0.0,0.0,36.5,47.0,1
S007,1,11,0.0,0.0,0.0,36.5,47.0,1
S007,1,12,0.0,0.0,0.0,36.5,47.0,1
S007,1,13,0.0,0.0,0.0,36.5,47.0,1
S007,1,14,0.0,0.0,0.0,36.5,47.0,1
S007,1,15,0.0,0.0,0.0,36.5,47.0,1
S007,1,16,0.0,0.0,0.0,36.5,47.0,1
S007,1,17,0.0,0.0,0.0,36.5,47.0,1
S007,1,18,0.0,0.0,0.0,36.5,47.0,1
