timestamp,slot_id,P_imp_kw,P_exp_kw,P_ch_ess_kw,P_dis_ess_kw,E_ess_kwh,P_curt_kw,P_uns_kw,pv_available_kw,pv_used_kw,delta_flex_office_building_kw,P_load_office_building_kw,delta_flex_wet_lab_kw,P_load_wet_lab_kw,delta_flex_teaching_center_kw,P_load_teaching_center_kw
2025-07-14 00:00:00,1,382.7,0.0,0.0,0.0,600.0,0.0,0.0,0.0,0.0,0.0,104.4,0.0,208.7,0.0,69.6
2025-07-14 00:15:00,2,384.3,0.0,0.0,0.0,600.0,0.0,0.0,0.0,0.0,0.0,104.1,0.0,212.9,0.0,67.3
2025-07-14 00:30:00,3,373.5,0.0,0.0,0.0,600.0,0.0,0.0,0.0,0.0,0.0,107.2,0.0,202.7,0.0,63.6
2025-07-14 00:45:00,4,357.0,0.0,0.0,0.0,600.0,0.0,0.0,0.0,0.0,0.0,97.3,0.0,196.4,0.0,63.3
2025-07-14 01:00:00,5,367.6,0.0,0.0,0.0,600.0,0.0,0.0,0.0,0.0,0.0,106.3,0.0,200.5,0.0,60.8
2025-07-14 01:15:00,6,370.1,0.0,0.0,0.0,600.0,0.0,0.0,0.0,0.0,0.0,104.1,0.0,205.3,0.0,60.7
2025-07-14 01:30:00,7,370.7,0.0,0.0,0.0,600.0,0.0,0.0,0.0,0.0,0.0,105.4,0.0,199.2,0.0,66.1
2025-07-14 01:45:00,8,376.4,0.0,0.0,0.0,600.0,0.0,0.0,0.0,0.0,0.0,103.8,0.0,202.0,0.0,70.6
2025-07-14 02:00:00,9,371.2,0.0,0.0,0.0,600.0,0.0,0.0,0.0,0.0,0.0,100.8,0.0,209.1,0.0,61.3
2025-07-14 02:15:00,10,361.2,0.0,0.0,0.0,600.0,0.0,0.0,0.0,0.0,0.0,97.2,0.0,198.4,0.0,65.6
2025-07-14 02:30:00,11,374.2,0.0,0.0,0.0,600.0,0.0,0.0,0.0,0.0,0.0,105.7,0.0,204.4,0.0,64.1
2025-07-14 02:45:00,12,373.0,0.0,0.0,0.0,600.0,0.0,0.0,0.0,0.0,0.0,102.1,0.0,202.7,0.0,68.2
2025-07-14 03:00:00,13,368.3,0.0,0.0,0.0,600.0,0.0,0.0,0.0,0.0,0.0,97.9,0.0,206.6,0.0,63.8
