P_buy,P_sell,P_ess_ch,P_ess_dis,E_ess,P_shift,P_shed,P_curtail
537.7,0.0,0.0,0.0,600.0,155.0,0.0,0.0
539.3,0.0,0.0,0.0,600.0,155.0,0.0,0.0
528.5,0.0,0.0,0.0,600.0,155.0,0.0,0.0
512.0,0.0,0.0,0.0,600.0,155.0,0.0,0.0
522.5,0.0,0.0,0.0,600.0,155.0,0.0,0.0
525.2,0.0,0.0,0.0,600.0,155.0,0.0,0.0
525.8,0.0,0.0,0.0,600.0,155.0,0.0,0.0
531.4,0.0,0.0,0.0,600.0,155.0,0.0,0.0
526.2,0.0,0.0,0.0,600.0,155.0,0.0,0.0
516.1,0.0,0.0,0.0,600.0,155.0,0.0,0.0
529.2,0.0,0.0,0.0,600.0,155.0,0.0,0.0
528.0,0.0,0.0,0.0,600.0,155.0,0.0,0.0
523.4,0.0,0.0,0.0,600.0,155.0,0.0,0.0
540.4,0.0,0.0,0.0,600.0,155.0,0.0,0.0
533.3,0.0,0.0,0.0,600.0,155.0,0.0,0.0
520.1,0.0,0.0,0.0,600.0,155.0,0.0,0.0
538.1,0.0,0.0,0.0,600.0,155.0,0.0,0.0
533.8,0.0,0.0,0.0,600.0,155.0,0.0,0.0
525.6,0.0,0.0,0.0,600.0,155.0,0.0,0.0
523.3,0.0,0.0,0.0,600.0,155.0,0.0,0.0
537.3,0.0,0.0,0.0,600.0,155.0,0.0,0.0
833.6,0.0,300.0,0.0,671.25,155.0,0.0,0.0
835.4,0.0,300.0,0.0,742.5,155.0,0.0,0.0
811.6,0.0,300.0,0.0,813.75,155.0,0.0,0.0
754.55263,0.0,221.05263,0.0,866.25,155.0,0.0,0.0
816.7,0.0,300.0,0.0,937.5,155.0,0.0,0.0
823.2,0.0,300.0,0.0,1008.75,155.0,0.0,0.0
788.9,0.0,300.0,0.0,1080.0,155.0,0.0,0.0
199.3,0.0,0.0,0.0,1080.0,-155.0,0.0,0.0
187.0,0.0,0.0,0.0,1080.0,-155.0,0.0,0.0
179.8,0.0,0.0,0.0,1080.0,-155.0,0.0,0.0
176.0,0.0,0.0,0.0,1080.0,-155.0,0.0,0.0
166.5,0.0,0.0,0.0,1080.0,-155.0,0.0,0.0
166.4,0.0,0.0,0.0,1080.0,-155.0,0.0,0.0
157.3,0.0,0.0,0.0,1080.0,-155.0,0.0,0.0
153.0,0.0,0.0,0.0,1080.0,-155.0,0.0,0.0
141.7,0.0,0.0,0.0,1080.0,-155.0,0.0,0.0
141.0,0.0,0.0,0.0,1080.0,-155.0,0.0,0.0
122.5,0.0,0.0,0.0,1080.0,-155.0,0.0,0.0
118.9,0.0,0.0,0.0,1080.0,-155.0,0.0,0.0
108.5,0.0,0.0,0.0,1080.0,-155.0,0.0,0.0
112.3,0.0,0.0,0.0,1080.0,-155.0,0.0,0.0
79.9,0.0,0.0,0.0,1080.0,-155.0,0.0,0.0
90.0,0.0,0.0,0.0,1080.0,-155.0,0.0,0.0
403.4,0.0,0.0,0.0,1080.0,155.0,0.0,0.0
382.6,0.0,0.0,0.0,1080.0,155.0,0.0,0.0
390.7,0.0,0.0,0.0,1080.0,155.0,0.0,0.0
378.2,0.0,0.0,0.0,1080.0,155.0,0.0,0.0
344.9,0.0,0.0,0.0,1080.0,155.0,0.0,0.0
338.4,0.0,0.0,0.0,1080.0,155.0,0.0,0.0
354.9,0.0,0.0,0.0,1080.0,155.0,0.0,0.0
339.2,0.0,0.0,0.0,1080.0,155.0,0.0,0.0
369.9,0.0,0.0,0.0,1080.0,155.0,0.0,0.0
357.8,0.0,0.0,0.0,1080.0,155.0,0.0,0.0
351.9,0.0,0.0,0.0,1080.0,155.0,0.0,0.0
373.9,0.0,0.0,0.0,1080.0,155.0,0.0,0.0
428.4,0.0,0.0,0.0,1080.0,155.0,0.0,0.0
447.7,0.0,0.0,0.0,1080.0,155.0,0.0,0.0
483.7,0.0,0.0,0.0,1080.0,155.0,0.0,0.0
491.0,0.0,0.0,0.0,1080.0,155.0,0.0,0.0
215.1,0.0,0.0,0.0,1080.0,-155.0,0.0,0.0
229.4,0.0,0.0,0.0,1080.0,-155.0,0.0,0.0
269.7,0.0,0.0,0.0,1080.0,-155.0,0.0,0.0
294.7,0.0,0.0,0.0,1080.0,-155.0,0.0,0.0
325.2,0.0,0.0,0.0,1080.0,-155.0,0.0,0.0
323.3,0.0,0.0,0.0,1080.0,-155.0,0.0,0.0
370.7,0.0,0.0,0.0,1080.0,-155.0,0.0,0.0
401.1,0.0,0.0,0.0,1080.0,-155.0,0.0,0.0
100.7,0.0,0.0,300.0,1001.0526,-155.0,0.0,0.0
120.2,0.0,0.0,300.0,922.10526,-155.0,0.0,0.0
111.7,0.0,0.0,300.0,843.15789,-155.0,0.0,0.0
416.3,0.0,0.0,0.0,843.15789,-155.0,0.0,0.0
411.8,0.0,0.0,0.0,843.15789,-155.0,0.0,0.0
424.3,0.0,0.0,0.0,843.15789,-155.0,0.0,0.0
390.7,0.0,0.0,48.0,830.52632,-155.0,0.0,0.0
130.8,0.0,0.0,300.0,751.57895,-155.0,0.0,0.0
131.3,0.0,0.0,300.0,672.63158,-155.0,0.0,0.0
114.8,0.0,0.0,300.0,593.68421,-155.0,0.0,0.0
109.2,0.0,0.0,300.0,514.73684,-155.0,0.0,0.0
83.9,0.0,0.0,300.0,435.78947,-155.0,0.0,0.0
45.3,0.0,0.0,300.0,356.84211,-155.0,0.0,0.0
33.4,0.0,0.0,300.0,277.89474,-155.0,0.0,0.0
28.5,0.0,0.0,300.0,198.94737,-155.0,0.0,0.0
21.5,0.0,0.0,300.0,120.0,-155.0,0.0,0.0
308.8,0.0,0.0,0.0,120.0,-155.0,0.0,0.0
303.4,0.0,0.0,0.0,120.0,-155.0,0.0,0.0
286.4,0.0,0.0,0.0,120.0,-155.0,0.0,0.0
294.2,0.0,0.0,0.0,120.0,-155.0,0.0,0.0
277.9,0.0,0.0,0.0,120.0,-155.0,0.0,0.0
271.2,0.0,0.0,0.0,120.0,-155.0,0.0,0.0
276.6,0.0,0.0,0.0,120.0,-155.0,0.0,0.0
264.8,0.0,0.0,0.0,120.0,-155.0,0.0,0.0
566.7,0.0,0.0,0.0,120.0,155.0,0.0,0.0
580.2,0.0,0.0,0.0,120.0,155.0,0.0,0.0
572.5,0.0,0.0,0.0,120.0,155.0,0.0,0.0
545.4,0.0,0.0,0.0,120.0,155.0,0.0,0.0
