parameter,scenario,metric,raw_value,relative_change_pct,baseline_reference
ev_power_scale=0.8,problem2_lifecycle_ev_scale,operation_cost,6584.872103275001,0.1151684529080087,"ev_power_scale=1.0, operation_cost=6577.297131925"
ev_power_scale=0.8,problem2_lifecycle_ev_scale,ev_throughput_kwh,329.23473685749883,-1.792103451914058,"ev_power_scale=1.0, ev_throughput_kwh=335.24263163125"
ev_power_scale=0.8,problem2_lifecycle_ev_scale,ev_discharge_energy_kwh,108.68000000000008,-4.983388704318865,"ev_power_scale=1.0, ev_discharge_energy_kwh=114.38"
ev_power_scale=0.8,problem2_lifecycle_ev_scale,ess_throughput_kwh,961.2631575,0.0,"ev_power_scale=1.0, ess_throughput_kwh=961.2631575"
ev_power_scale=1.0,problem2_lifecycle_ev_scale,operation_cost,6577.297131925,0.0,"ev_power_scale=1.0, operation_cost=6577.297131925"
ev_power_scale=1.0,problem2_lifecycle_ev_scale,ev_throughput_kwh,335.24263163125,0.0,"ev_power_scale=1.0, ev_throughput_kwh=335.24263163125"
ev_power_scale=1.0,problem2_lifecycle_ev_scale,ev_discharge_energy_kwh,114.38,0.0,"ev_power_scale=1.0, ev_discharge_energy_kwh=114.38"
ev_power_scale=1.0,problem2_lifecycle_ev_scale,ess_throughput_kwh,961.2631575,0.0,"ev_power_scale=1.0, ess_throughput_kwh=961.2631575"
ev_power_scale=1.2,problem2_lifecycle_ev_scale,operation_cost,6571.446630325001,-0.08894993616149313,"ev_power_scale=1.0, operation_cost=6577.297131925"
ev_power_scale=1.2,problem2_lifecycle_ev_scale,ev_throughput_kwh,341.2505262900007,1.792103417610416,"ev_power_scale=1.0, ev_throughput_kwh=335.24263163125"
ev_power_scale=1.2,problem2_lifecycle_ev_scale,ev_discharge_energy_kwh,120.07999999999991,4.983388704318865,"ev_power_scale=1.0, ev_discharge_energy_kwh=114.38"
ev_power_scale=1.2,problem2_lifecycle_ev_scale,ess_throughput_kwh,961.2631575,0.0,"ev_power_scale=1.0, ess_throughput_kwh=961.2631575"
lifetime_weight_w=0.0,problem2_lifecycle_weight_scan,operation_cost,38962.11295492504,-0.028497314133698697,"w=1.0, operation_cost=38973.21927565004"
lifetime_weight_w=0.0,problem2_lifecycle_weight_scan,objective_total,38962.11295492475,-1.2804046245023015,"w=1.0, objective_total=39467.45608784696"
lifetime_weight_w=0.0,problem2_lifecycle_weight_scan,ev_throughput,1615.29978544,12.066471333302891,"w=1.0, ev_throughput=1441.3765029112503"
lifetime_weight_w=0.0,problem2_lifecycle_weight_scan,ess_throughput,6728.842102499999,0.1883239068326776,"w=1.0, ess_throughput=6716.193903749999"
lifetime_weight_w=0.1,problem2_lifecycle_weight_scan,operation_cost,38962.11295847503,-0.02849730502490369,"w=1.0, operation_cost=38973.21927565004"
lifetime_weight_w=0.1,problem2_lifecycle_weight_scan,objective_total,39013.09060169,-1.1512408733555801,"w=1.0, objective_total=39467.45608784696"
lifetime_weight_w=0.1,problem2_lifecycle_weight_scan,ev_throughput,1615.29978544,12.066471333302891,"w=1.0, ev_throughput=1441.3765029112503"
lifetime_weight_w=0.1,problem2_lifecycle_weight_scan,ess_throughput,6728.842102499999,0.1883239068326776,"w=1.0, ess_throughput=6716.193903749999"
lifetime_weight_w=0.5,problem2_lifecycle_weight_scan,operation_cost,38962.23993782504,-0.028171493217794774,"w=1.0, operation_cost=38973.21927565004"
lifetime_weight_w=0.5,problem2_lifecycle_weight_scan,objective_total,39216.78032843792,-0.6351454698551682,"w=1.0, objective_total=39467.45608784696"
lifetime_weight_w=0.5,problem2_lifecycle_weight_scan,ev_throughput,1615.29978544,12.066471333302891,"w=1.0, ev_throughput=1441.3765029112503"
lifetime_weight_w=0.5,problem2_lifecycle_weight_scan,ess_throughput,6716.193903749999,0.0,"w=1.0, ess_throughput=6716.193903749999"
lifetime_weight_w=1.0,problem2_lifecycle_weight_scan,operation_cost,38973.21927565004,0.0,"w=1.0, operation_cost=38973.21927565004"
lifetime_weight_w=1.0,problem2_lifecycle_weight_scan,objective_total,39467.45608784696,0.0,"w=1.0, objective_total=39467.45608784696"
lifetime_weight_w=1.0,problem2_lifecycle_weight_scan,ev_throughput,1441.3765029112503,0.0,"w=1.0, ev_throughput=1441.3765029112503"
lifetime_weight_w=1.0,problem2_lifecycle_weight_scan,ess_throughput,6716.193903749999,0.0,"w=1.0, ess_throughput=6716.193903749999"
lifetime_weight_w=2.0,problem2_lifecycle_weight_scan,operation_cost,38973.53998605003,0.0008228994318570657,"w=1.0, operation_cost=38973.21927565004"
lifetime_weight_w=2.0,problem2_lifecycle_weight_scan,objective_total,39961.39380651187,1.2515063488396725,"w=1.0, objective_total=39467.45608784696"
