model_name,slot_id,timestamp,is_price_peak_slot,price_buy_yuan_per_kwh,grid_import_kw
problem1_coordinated,1,2025-07-14 00:00:00,0,0.42,382.7
problem1_coordinated,2,2025-07-14 00:15:00,0,0.42,384.3
problem1_coordinated,3,2025-07-14 00:30:00,0,0.42,373.5
problem1_coordinated,4,2025-07-14 00:45:00,0,0.42,357.0
problem1_coordinated,5,2025-07-14 01:00:00,0,0.42,367.6
problem1_coordinated,6,2025-07-14 01:15:00,0,0.42,370.1
problem1_coordinated,7,2025-07-14 01:30:00,0,0.42,370.7
problem1_coordinated,8,2025-07-14 01:45:00,0,0.42,376.4
problem1_coordinated,9,2025-07-14 02:00:00,0,0.42,371.2
problem1_coordinated,10,2025-07-14 02:15:00,0,0.42,361.2
problem1_coordinated,11,2025-07-14 02:30:00,0,0.42,374.2
problem1_coordinated,12,2025-07-14 02:45:00,0,0.42,373.0
problem1_coordinated,13,2025-07-14 03:00:00,0,0.42,368.3
problem1_coordinated,14,2025-07-14 03:15:00,0,0.42,385.4
problem1_coordinated,15,2025-07-14 03:30:00,0,0.42,378.4
problem1_coordinated,16,2025-07-14 03:45:00,0,0.42,365.2
problem1_coordinated,17,2025-07-14 04:00:00,0,0.42,383.0
problem1_coordinated,18,2025-07-14 04:15:00,0,0.42,378.8
problem1_coordinated,19,2025-07-14 04:30:00,0,0.42,370.7
problem1_coordinated,20,2025-07-14 04:45:00,0,0.42,368.3
problem1_coordinated,21,2025-07-14 05:00:00,0,0.42,382.2
problem1_coordinated,22,2025-07-14 05:15:00,0,0.42,678.6
problem1_coordinated,23,2025-07-14 05:30:00,0,0.42,680.5
problem1_coordinated,24,2025-07-14 05:45:00,0,0.42,577.65263
problem1_coordinated,25,2025-07-14 06:00:00,0,0.42,678.4
problem1_coordinated,26,2025-07-14 06:15:00,0,0.42,661.8
problem1_coordinated,27,2025-07-14 06:30:00,0,0.42,668.2
problem1_coordinated,28,2025-07-14 06:45:00,0,0.42,647.9
problem1_coordinated,29,2025-07-14 07:00:00,0,0.75,277.06
problem1_coordinated,30,2025-07-14 07:15:00,0,0.75,262.672
problem1_coordinated,31,2025-07-14 07:30:00,0,0.75,252.004
problem1_coordinated,32,2025-07-14 07:45:00,0,0.75,241.264
problem1_coordinated,33,2025-07-14 08:00:00,0,0.75,227.274
problem1_coordinated,34,2025-07-14 08:15:00,0,0.75,222.16515
problem1_coordinated,35,2025-07-14 08:30:00,0,0.75,210.534
problem1_coordinated,36,2025-07-14 08:45:00,0,0.75,199.564
problem1_coordinated,37,2025-07-14 09:00:00,0,0.75,185.792
problem1_coordinated,38,2025-07-14 09:15:00,0,0.75,180.936
problem1_coordinated,39,2025-07-14 09:30:00,0,0.75,168.782
problem1_coordinated,40,2025-07-14 09:45:00,0,0.75,160.39
problem1_coordinated,41,2025-07-14 10:00:00,0,0.75,164.88463
problem1_coordinated,42,2025-07-14 10:15:00,0,0.75,166.386
problem1_coordinated,43,2025-07-14 10:30:00,0,0.75,148.136
problem1_coordinated,44,2025-07-14 10:45:00,0,0.75,154.76343
problem1_coordinated,45,2025-07-14 11:00:00,0,0.68,220.29253
problem1_coordinated,46,2025-07-14 11:15:00,0,0.68,201.32442
problem1_coordinated,47,2025-07-14 11:30:00,0,0.68,233.45394
problem1_coordinated,48,2025-07-14 11:45:00,0,0.68,222.13211
problem1_coordinated,49,2025-07-14 12:00:00,0,0.68,211.34979
problem1_coordinated,50,2025-07-14 12:15:00,0,0.68,212.05263
problem1_coordinated,51,2025-07-14 12:30:00,0,0.68,205.36947
problem1_coordinated,52,2025-07-14 12:45:00,0,0.68,206.72
problem1_coordinated,53,2025-07-14 13:00:00,0,0.68,242.80884
problem1_coordinated,54,2025-07-14 13:15:00,0,0.68,227.864
problem1_coordinated,55,2025-07-14 13:30:00,0,0.68,223.048
problem1_coordinated,56,2025-07-14 13:45:00,0,0.68,280.09
problem1_coordinated,57,2025-07-14 14:00:00,0,0.68,336.60126
problem1_coordinated,58,2025-07-14 14:15:00,0,0.68,335.30158
problem1_coordinated,59,2025-07-14 14:30:00,0,0.68,353.476
problem1_coordinated,60,2025-07-14 14:45:00,0,0.68,352.224
problem1_coordinated,61,2025-07-14 15:00:00,1,0.82,236.782
problem1_coordinated,62,2025-07-14 15:15:00,1,0.82,258.2
problem1_coordinated,63,2025-07-14 15:30:00,1,0.82,295.98
problem1_coordinated,64,2025-07-14 15:45:00,1,0.82,318.95442
problem1_coordinated,65,2025-07-14 16:00:00,1,0.82,343.554
problem1_coordinated,66,2025-07-14 16:15:00,1,0.82,344.208
problem1_coordinated,67,2025-07-14 16:30:00,1,0.82,396.05484
problem1_coordinated,68,2025-07-14 16:45:00,1,0.82,426.754
problem1_coordinated,69,2025-07-14 17:00:00,1,1.28,33.22
problem1_coordinated,70,2025-07-14 17:15:00,1,1.28,67.258
problem1_coordinated,71,2025-07-14 17:30:00,1,1.28,377.112
problem1_coordinated,72,2025-07-14 17:45:00,1,1.28,390.626
problem1_coordinated,73,2025-07-14 18:00:00,1,1.28,105.602
problem1_coordinated,74,2025-07-14 18:15:00,1,1.28,136.724
problem1_coordinated,75,2025-07-14 18:30:00,1,1.28,416.22
problem1_coordinated,76,2025-07-14 18:45:00,1,1.28,459.694
problem1_coordinated,77,2025-07-14 19:00:00,1,1.28,177.326
problem1_coordinated,78,2025-07-14 19:15:00,1,1.28,163.024
problem1_coordinated,79,2025-07-14 19:30:00,1,1.28,170.14
problem1_coordinated,80,2025-07-14 19:45:00,1,1.28,149.784
problem1_coordinated,81,2025-07-14 20:00:00,1,1.28,117.602
problem1_coordinated,82,2025-07-14 20:15:00,1,1.28,109.6
problem1_coordinated,83,2025-07-14 20:30:00,1,1.28,105.124
problem1_coordinated,84,2025-07-14 20:45:00,1,1.28,99.878
problem1_coordinated,85,2025-07-14 21:00:00,0,0.72,389.264
problem1_coordinated,86,2025-07-14 21:15:00,0,0.72,384.518
problem1_coordinated,87,2025-07-14 21:30:00,0,0.72,370.08
problem1_coordinated,88,2025-07-14 21:45:00,0,0.72,376.36
problem1_coordinated,89,2025-07-14 22:00:00,0,0.72,363.024
problem1_coordinated,90,2025-07-14 22:15:00,0,0.72,357.8
problem1_coordinated,91,2025-07-14 22:30:00,0,0.72,361.44
problem1_coordinated,92,2025-07-14 22:45:00,0,0.72,352.4
problem1_coordinated,93,2025-07-14 23:00:00,0,0.72,345.658
problem1_coordinated,94,2025-07-14 23:15:00,0,0.72,358.036
problem1_coordinated,95,2025-07-14 23:30:00,0,0.72,351.86
problem1_coordinated,96,2025-07-14 23:45:00,0,0.72,327.256
problem1_coordinated,97,2025-07-15 00:00:00,0,0.42,547.3
problem1_coordinated,98,2025-07-15 00:15:00,0,0.42,535.2
problem1_coordinated,99,2025-07-15 00:30:00,0,0.42,550.3
problem1_coordinated,100,2025-07-15 00:45:00,0,0.42,547.0
problem1_coordinated,101,2025-07-15 01:00:00,0,0.42,536.2
problem1_coordinated,102,2025-07-15 01:15:00,0,0.42,535.3
problem1_coordinated,103,2025-07-15 01:30:00,0,0.42,540.8
problem1_coordinated,104,2025-07-15 01:45:00,0,0.42,543.1
problem1_coordinated,105,2025-07-15 02:00:00,0,0.42,545.1
problem1_coordinated,106,2025-07-15 02:15:00,0,0.42,547.2
problem1_coordinated,107,2025-07-15 02:30:00,0,0.42,541.3
problem1_coordinated,108,2025-07-15 02:45:00,0,0.42,519.5
problem1_coordinated,109,2025-07-15 03:00:00,0,0.42,549.1
problem1_coordinated,110,2025-07-15 03:15:00,0,0.42,524.3
problem1_coordinated,111,2025-07-15 03:30:00,0,0.42,827.8
problem1_coordinated,112,2025-07-15 03:45:00,0,0.42,840.2
problem1_coordinated,113,2025-07-15 04:00:00,0,0.42,836.9
problem1_coordinated,114,2025-07-15 04:15:00,0,0.42,835.4
problem1_coordinated,115,2025-07-15 04:30:00,0,0.42,828.0
problem1_coordinated,116,2025-07-15 04:45:00,0,0.42,836.1
problem1_coordinated,117,2025-07-15 05:00:00,0,0.42,843.0
problem1_coordinated,118,2025-07-15 05:15:00,0,0.42,827.9
problem1_coordinated,119,2025-07-15 05:30:00,0,0.42,851.5
problem1_coordinated,120,2025-07-15 05:45:00,0,0.42,849.9
problem1_coordinated,121,2025-07-15 06:00:00,0,0.42,833.0
problem1_coordinated,122,2025-07-15 06:15:00,0,0.42,822.9
problem1_coordinated,123,2025-07-15 06:30:00,0,0.42,680.60526
problem1_coordinated,124,2025-07-15 06:45:00,0,0.42,820.7
problem1_coordinated,125,2025-07-15 07:00:00,0,0.75,268.798
problem1_coordinated,126,2025-07-15 07:15:00,0,0.75,273.628
problem1_coordinated,127,2025-07-15 07:30:00,0,0.75,253.208
problem1_coordinated,128,2025-07-15 07:45:00,0,0.75,250.232
problem1_coordinated,129,2025-07-15 08:00:00,0,0.75,252.252
problem1_coordinated,130,2025-07-15 08:15:00,0,0.75,246.67
problem1_coordinated,131,2025-07-15 08:30:00,0,0.75,231.25
problem1_coordinated,132,2025-07-15 08:45:00,0,0.75,211.294
problem1_coordinated,133,2025-07-15 09:00:00,0,0.75,214.23
problem1_coordinated,134,2025-07-15 09:15:00,0,0.75,189.84442
problem1_coordinated,135,2025-07-15 09:30:00,0,0.75,190.63
problem1_coordinated,136,2025-07-15 09:45:00,0,0.75,183.594
problem1_coordinated,137,2025-07-15 10:00:00,0,0.75,161.72
problem1_coordinated,138,2025-07-15 10:15:00,0,0.75,159.026
problem1_coordinated,139,2025-07-15 10:30:00,0,0.75,165.79253
problem1_coordinated,140,2025-07-15 10:45:00,0,0.75,154.444
problem1_coordinated,141,2025-07-15 11:00:00,0,0.68,269.83905
problem1_coordinated,142,2025-07-15 11:15:00,0,0.68,267.112
problem1_coordinated,143,2025-07-15 11:30:00,0,0.68,270.154
problem1_coordinated,144,2025-07-15 11:45:00,0,0.68,271.41063
problem1_coordinated,145,2025-07-15 12:00:00,0,0.68,227.08621
problem1_coordinated,146,2025-07-15 12:15:00,0,0.68,218.75063
problem1_coordinated,147,2025-07-15 12:30:00,0,0.68,211.83703
problem1_coordinated,148,2025-07-15 12:45:00,0,0.68,226.964
problem1_coordinated,149,2025-07-15 13:00:00,0,0.68,234.01021
