slot_id,timestamp,date,price_buy_yuan_per_kwh,p1_ess_charge_kw,p1_ess_discharge_kw,bl_ess_charge_kw,bl_ess_discharge_kw
1,2025-07-14 00:00:00,2025-07-14,0.42,0.0,0.0,0.0,0.0
2,2025-07-14 00:15:00,2025-07-14,0.42,0.0,0.0,0.0,0.0
3,2025-07-14 00:30:00,2025-07-14,0.42,0.0,0.0,0.0,0.0
4,2025-07-14 00:45:00,2025-07-14,0.42,0.0,0.0,0.0,0.0
5,2025-07-14 01:00:00,2025-07-14,0.42,0.0,0.0,0.0,0.0
6,2025-07-14 01:15:00,2025-07-14,0.42,0.0,0.0,0.0,0.0
7,2025-07-14 01:30:00,2025-07-14,0.42,0.0,0.0,0.0,0.0
8,2025-07-14 01:45:00,2025-07-14,0.42,0.0,0.0,0.0,0.0
9,2025-07-14 02:00:00,2025-07-14,0.42,0.0,0.0,0.0,0.0
10,2025-07-14 02:15:00,2025-07-14,0.42,0.0,0.0,0.0,0.0
11,2025-07-14 02:30:00,2025-07-14,0.42,0.0,0.0,0.0,0.0
12,2025-07-14 02:45:00,2025-07-14,0.42,0.0,0.0,0.0,0.0
13,2025-07-14 03:00:00,2025-07-14,0.42,0.0,0.0,0.0,0.0
14,2025-07-14 03:15:00,2025-07-14,0.42,0.0,0.0,0.0,0.0
15,2025-07-14 03:30:00,2025-07-14,0.42,0.0,0.0,0.0,0.0
16,2025-07-14 03:45:00,2025-07-14,0.42,0.0,0.0,0.0,0.0
17,2025-07-14 04:00:00,2025-07-14,0.42,0.0,0.0,0.0,0.0
18,2025-07-14 04:15:00,2025-07-14,0.42,0.0,0.0,0.0,0.0
19,2025-07-14 04:30:00,2025-07-14,0.42,0.0,0.0,0.0,0.0
20,2025-07-14 04:45:00,2025-07-14,0.42,0.0,0.0,0.0,0.0
21,2025-07-14 05:00:00,2025-07-14,0.42,0.0,0.0,0.0,0.0
22,2025-07-14 05:15:00,2025-07-14,0.42,300.0,0.0,0.0,0.0
23,2025-07-14 05:30:00,2025-07-14,0.42,300.0,0.0,0.0,0.0
24,2025-07-14 05:45:00,2025-07-14,0.42,221.05263,0.0,0.0,0.0
25,2025-07-14 06:00:00,2025-07-14,0.42,300.0,0.0,0.0,0.0
26,2025-07-14 06:15:00,2025-07-14,0.42,300.0,0.0,0.0,0.0
27,2025-07-14 06:30:00,2025-07-14,0.42,300.0,0.0,0.0,0.0
28,2025-07-14 06:45:00,2025-07-14,0.42,300.0,0.0,0.0,0.0
29,2025-07-14 07:00:00,2025-07-14,0.75,0.0,0.0,0.0,0.0
30,2025-07-14 07:15:00,2025-07-14,0.75,0.0,0.0,0.0,0.0
31,2025-07-14 07:30:00,2025-07-14,0.75,0.0,0.0,0.0,0.0
32,2025-07-14 07:45:00,2025-07-14,0.75,0.0,0.0,0.0,0.0
33,2025-07-14 08:00:00,2025-07-14,0.75,0.0,0.0,0.0,0.0
34,2025-07-14 08:15:00,2025-07-14,0.75,0.0,0.0,0.0,0.0
35,2025-07-14 08:30:00,2025-07-14,0.75,0.0,0.0,0.0,0.0
36,2025-07-14 08:45:00,2025-07-14,0.75,0.0,0.0,0.0,0.0
37,2025-07-14 09:00:00,2025-07-14,0.75,0.0,0.0,0.0,0.0
38,2025-07-14 09:15:00,2025-07-14,0.75,0.0,0.0,0.0,0.0
39,2025-07-14 09:30:00,2025-07-14,0.75,0.0,0.0,0.0,0.0
40,2025-07-14 09:45:00,2025-07-14,0.75,0.0,0.0,0.0,0.0
41,2025-07-14 10:00:00,2025-07-14,0.75,0.0,0.0,0.0,0.0
42,2025-07-14 10:15:00,2025-07-14,0.75,0.0,0.0,0.0,0.0
