slot_id,timestamp,delta_t_h,price_buy_yuan_per_kwh,price_sell_yuan_per_kwh,is_price_peak_slot,is_price_valley_slot,native_load_kw,adjusted_load_kw,pv_available_kw,pv_use_kw,pv_to_ess_kw,pv_export_kw,pv_curtail_kw,grid_import_kw,grid_export_kw,ess_charge_kw,ess_discharge_kw,ess_energy_end_kwh,ev_charge_kw,ev_discharge_kw,building_shift_kw,building_recover_kw,building_flex_net_kw,load_shed_kw,ev_aggregate_energy_kwh,dispatch_summary_zh
1,2025-07-14 00:00:00,0.25,0.42,0.35,0,1,382.7,382.7,0.0,0.0,0.0,0.0,0.0,382.7,0.0,0.0,0.0,600.0,0.0,0.0,0.0,0.0,0.0,0.0,null,【协同】外购电
2,2025-07-14 00:15:00,0.25,0.42,0.35,0,1,384.3,384.3,0.0,0.0,0.0,0.0,0.0,384.3,0.0,0.0,0.0,600.0,0.0,0.0,0.0,0.0,0.0,0.0,null,【协同】外购电
3,2025-07-14 00:30:00,0.25,0.42,0.35,0,1,373.5,373.5,0.0,0.0,0.0,0.0,0.0,373.5,0.0,0.0,0.0,600.0,0.0,0.0,0.0,0.0,0.0,0.0,null,【协同】外购电
4,2025-07-14 00:45:00,0.25,0.42,0.35,0,1,357.0,357.0,0.0,0.0,0.0,0.0,0.0,357.0,0.0,0.0,0.0,600.0,0.0,0.0,0.0,0.0,0.0,0.0,null,【协同】外购电
5,2025-07-14 01:00:00,0.25,0.42,0.35,0,1,367.5,367.5,0.0,0.0,0.0,0.0,0.0,367.6,0.0,0.0,0.0,600.0,0.0,0.0,0.0,0.0,0.0,0.0,null,【协同】外购电
6,2025-07-14 01:15:00,0.25,0.42,0.35,0,1,370.2,370.2,0.0,0.0,0.0,0.0,0.0,370.1,0.0,0.0,0.0,600.0,0.0,0.0,0.0,0.0,0.0,0.0,null,【协同】外购电
7,2025-07-14 01:30:00,0.25,0.42,0.35,0,1,370.8,370.8,0.0,0.0,0.0,0.0,0.0,370.7,0.0,0.0,0.0,600.0,0.0,0.0,0.0,0.0,0.0,0.0,null,【协同】外购电
8,2025-07-14 01:45:00,0.25,0.42,0.35,0,1,376.4,376.4,0.0,0.0,0.0,0.0,0.0,376.4,0.0,0.0,0.0,600.0,0.0,0.0,0.0,0.0,0.0,0.0,null,【协同】外购电
9,2025-07-14 02:00:00,0.25,0.42,0.35,0,1,371.2,371.2,0.0,0.0,0.0,0.0,0.0,371.2,0.0,0.0,0.0,600.0,0.0,0.0,0.0,0.0,0.0,0.0,null,【协同】外购电
10,2025-07-14 02:15:00,0.25,0.42,0.35,0,1,361.1,361.1,0.0,0.0,0.0,0.0,0.0,361.2,0.0,0.0,0.0,600.0,0.0,0.0,0.0,0.0,0.0,0.0,null,【协同】外购电
11,2025-07-14 02:30:00,0.25,0.42,0.35,0,1,374.2,374.2,0.0,0.0,0.0,0.0,0.0,374.2,0.0,0.0,0.0,600.0,0.0,0.0,0.0,0.0,0.0,0.0,null,【协同】外购电
12,2025-07-14 02:45:00,0.25,0.42,0.35,0,1,373.0,373.0,0.0,0.0,0.0,0.0,0.0,373.0,0.0,0.0,0.0,600.0,0.0,0.0,0.0,0.0,0.0,0.0,null,【协同】外购电
